feature,importance
battery_sudden_shutdowns,0.260029
battery_charge_cycles,0.1350769
memory_oom_kills,0.09940249
battery_level_percent,0.098247826
thermal_shutdowns,0.088055424
hotspot_temp_anomaly,0.05555991
cpu_watchdog_resets,0.04667647
device_total_shutdowns,0.029313479
memory_ecc_corrected_errors,0.023598831
memory_dma_faults,0.023406614
battery_temp_level_interaction,0.022800421
cpu_voltage_scaling_errors,0.014249907
thermal_hotspot_temp_c,0.011667113
battery_temperature_c,0.008507021
storage_write_errors,0.007662157
wifi_firmware_crashes,0.0068520606
cellular_drop_calls,0.0053280857
total_hardware_errors,0.0049459967
storage_read_errors,0.004235678
user_total_failures,0.0030518477
user_failure_rate,0.0030249506
cpu_temperature_c_avg,0.0027768938
device_max_hotspot_temp,0.0024816815
thermal_sensor_battery_c,0.0024636397
wifi_disconnects,0.0021807612
battery_overheat,0.0018558865
device_age_days,0.001296421
age_battery_interaction,0.0010735634
thermal_sensor_cpu_cluster0_c,0.0010493706
thermal_sensor_cpu_cluster1_c,0.0009981589
kernel_driver_probe_failures,0.0007279175
user_device_count,0.0005829575
software_app_crashes,0.0005753415
user_region_encoded,0.0005688348
peripheral_mic_speaker_faults,0.00056151015
peripheral_touchscreen_errors,0.0005587565
cellular_modem_resets,0.00055116793
total_software_errors,0.0005415585
memory_used_mb,0.0005411493
device_total_storage_errors,0.0005366474
cellular_rsrp_dbm,0.0005352183
thermal_sensor_gpu_c,0.0005254564
age_cpu_interaction,0.0005246773
user_avg_battery_temp,0.0005185576
gpu_frequency_mhz,0.0005123209
device_total_kernel_panics,0.00051206327
battery_resistance_mohm,0.00050651963
model_avg_hotspot_temp,0.0005023753
gpu_usage_percent,0.00049420964
thermal_sensor_pmic_c,0.0004881598
device_age_actual,0.00048346762
wifi_packet_loss_percent,0.00048114176
battery_voltage_mv,0.00048013526
user_avg_cpu_temp,0.00047653253
storage_wear_level_percent,0.00047349258
user_avg_battery_level,0.00047203802
user_avg_cpu_usage,0.00047049415
model_avg_device_age,0.0004614647
peripheral_camera_init_failures,0.0004566449
gpu_temperature_c,0.00045372854
software_uptime_hours,0.00045021967
user_avg_memory_usage,0.00044876887
memory_swap_used_mb,0.00044683367
battery_health_status_encoded,0.00044365885
peripheral_sensor_hub_desyncs,0.00044248294
cpu_usage_anomaly,0.00044222202
storage_io_latency_ms,0.0004421631
wifi_signal_dbm,0.00044206803
cpu_usage_percent,0.00044181233
kernel_anrs,0.00044138636
kernel_system_crash_count,0.00044040717
device_battery_volatility,0.00043262244
user_account_age_days,0.00043135366
kernel_panic_occurred,0.0004285019
memory_page_faults,0.00042546037
battery_current_ma,0.00041987034
cpu_throttle_events,0.00041545657
user_failure_history_count,0.00040950073
device_avg_hotspot_temp,0.00040940766
storage_bad_block_count,0.0004041704
model_memory_95_percentile,0.00040174407
memory_total_mb,0.00040089397
storage_used_gb,0.0004001019
cellular_handshake_failures,0.0003876246
month,0.00038604403
model_failure_rate,0.000384521
day_of_week,0.00037934844
cpu_temp_usage_interaction,0.00037457448
battery_charging_status_encoded,0.000373896
kernel_last_boot_reason_encoded,0.00036710917
user_behavior_profile_encoded,0.00036642773
warranty_status_encoded,0.00035553033
kernel_panics,0.00035369874
model_avg_cpu_temp,0.00034948427
model_avg_charge_cycles,0.0003398132
model_cpu_95_percentile,0.0003390807
gpu_driver_resets,0.00033519787
os_version_encoded,0.00033462603
software_system_crashes,0.00031996338
storage_total_gb,0.0003009563
kernel_irq_storms,0.0002950012
device_model_encoded,0.0002700376
cpu_temp_anomaly,8.2981074e-05
hour_of_day,0.0
os_name_encoded,0.0
storage_error_spike,0.0
battery_critical_low,0.0
memory_usage_anomaly,0.0
device_manufacturer_encoded,0.0
